Read Miss , Address: 00000000, 
Read Hit  , Address: 00000004, 
Read Hit  , Address: 00000008, 
Read Hit  , Address: 0000000c, 
Read Hit  , Address: 00000010, 
Read Hit  , Address: 00000014, 
Read Hit  , Address: 00000018, 
Read Hit  , Address: 0000001c, 
Read Miss , Address: 00000020, 
Read Hit  , Address: 00000024, 
Read Hit  , Address: 00000028, 
Read Hit  , Address: 0000002c, 
Read Hit  , Address: 00000030, 
Read Hit  , Address: 00000034, 
Read Hit  , Address: 00000038, 
Read Hit  , Address: 0000003c, 
Read Miss , Address: 00000040, 
Read Hit  , Address: 00000044, 
Read Hit  , Address: 00000048, 
Read Hit  , Address: 0000004c, 
Read Hit  , Address: 00000050, 
Read Hit  , Address: 00000054, 
Read Hit  , Address: 00000058, 
Read Hit  , Address: 0000005c, 
